date,opening,Enough,Day high,Day low,volume
11/12/2019,15.236,15.296,15.296,15.236,-
11/11/2019,15.236,15.214,15.244,15.21,-
11/8/2019,15.102,15.16,15.16,"15,100",-
7/11/2019,14.986,15.656,15.656,14.896,139
6/11/2019,14.914,14.914,"14,922","14,898",-
5/11/2019,14.628,14.656,"14,660",14.606,-
4/11/2019,"13,996","13,982","13,998","13,982",-
11/1/2019,14.034,14.056,14.056,14.032,-
31-Oct-19,14.36,"14,450","14,464",14.356,-
10/30/2019,"14,640",14.628,"14,640",14.628,-
29-Oct-19,14.792,14.776,14.822,14.772,-
28-Oct-19,14.648,14.602,14.648,14.602,-
10/25/2019,"14,430","14,482","14,482","14,426",-
24-Oct-19,"14,522","14,438","14,522","14,438",-
23/10/2019,"14,426",14.398,"14,436",14.398,-
10/22/2019,"14,128","14,162","14,162",14.126,-
21-Oct-19,"14,188",14.14,"14,188",14.114,-
18-Oct-19,14.038,14.018,14.052,14.004,-
17-Oct-19,"13,872","13,840","13,884","13,836",-
16-Oct-19,14.016,14.006,14.05,14.006,-
15-Oct-19,14.03,"13,952",14.064,"13,952",-
14-Oct-19,13.602,"13,592",13.622,"13,592",-
10/11/2019,13.668,"13,546",13.668,"13,538",-
10/10/2019,"13,442","13,346","13,442","13,342",-
9/10/2019,13.632,"13,568",13.638,"13,568",-
8/10/2019,"13,694",13.764,13.768,"13,692",-
07.10.2019,"13,518","13,800","13,800","13,512",-
04.10.2019,"13,500","13,500","13,524","13,494",-
2-Oct-19,13.976,"13,996",14.01,"13,930",-
1-Oct-19,13.986,14.01,14.02,13.966,-
9/30/2019,"13,482","13,486",13.508,"13,466",-
9/27/2019,"13,576","13,514",13.602,"13,510",-
9/26/2019,"13,550","13,544","13,556","13,530",-
9/25/2019,"13,398",13.402,13.404,"13,392",-
9/24/2019,"13,434","13,444","13,454",13.402,-
9/23/2019,"13,284","13,356","13,394","13,282",-
9/20/2019,"13,254","13,284","13,284","13,218",-
19.09.2019,"13,364",13.302,"13,364",13.296,-
18-Sep-19,"13,356","13,344","13,360","13,330",-
9/17/2019,"13,600","13,548",13.612,"13,548",-
16.09.2019,13.244,"13,680","13,680","12,922",78
13.09.2019,"13,536","13,574","13,574","13,536",-
9/12/2019,"13,540","13,478","13,642","13,452",-
9/11/2019,"13,536","13,594",13.606,"13,484",-
9/10/2019,12.784,12.792,"12,810",12.776,-
09.09.2019,"12,464","12,438","12,490","12,436",-
9/6/2019,12.376,12.404,12.408,"12,364",-
05.09.2019,"12,320",12.234,"12,320",12.21,-
04.09.2019,"12,166",12.088,"12,170",12.088,-
9/3/2019,"12,280",12.278,"12,280",12.262,-
02.09.2019,"12,180","12,176","12,180","12,166",-
8/30/2019,12.006,12.096,12.096,12.004,-
8/29/2019,"11,818","11,800","11,838","11,800",-
8/28/2019,"11,830","11,818","11,832",11.814,-
8/27/2019,"11,832","11,828","11,842",11.808,-
8/26/2019,"11,818",11.758,11.824,11.758,-
8/23/2019,11.856,"11,888","11,888","11,844",-
8/22/2019,11.656,11.666,"11,688",11.654,-
8/21/2019,"11,520","11,518",12.088,"11,514",18th
8/20/2019,11.456,"11,474","11,484",11.456,-
19-Aug-19,"11,346",11.63,11.63,"11,342",-
8/16/2019,"11,280","11,540","11,540",11.272,-
8/15/2019,11.292,"11,570","11,570",11.272,-
8/14/2019,"11,400","11,516","11,516","11,398",-
8/13/2019,11.298,11.186,11.304,"11,140",-
8/12/2019,"11,818","11,818","11,872","11,818",-
8/9/2019,11.79,"11,800",11.804,11.772,-
8/8/2019,11.792,11.778,11.814,11.77,-
8/7/2019,12.002,"12,042",12.048,12.002,-
8/6/2019,11.976,12.01,12.61,11.976,179
8/5/2019,"12,332",12.204,"12,332",12.204,-
8/2/2019,"12,692","12,708","13,318",12.684,112
8/1/2019,"12,898",13.004,13.014,"12,884",-
31-Jul-19,"12,960","13,270","13,270",12.948,-
7/30/2019,"12,872","12,902","13,548","12,872",74
7/29/2019,12.772,12.728,12.772,12.728,-
7/26/2019,12.796,12.858,12.858,12.796,-
25-Jul-19,"12,936","12,860","12,952",12.856,-
7/24/2019,"12,928",12.966,"12,970","12,928",-
7/23/2019,12.912,"12,956","12,956","12,902",-
7/22/2019,"12,908","12,938","12,942","12,898",-
7/19/2019,"12,982","13,032","13,032","12,972",-
18-Jul-19,"12,822","12,834","12,834",12.816,-
7/17/2019,"13,178","13,146","13,800","13,144",100
16-Jul-19,"13,078",13.112,13.128,"13,078",-
7/15/2019,"13,190","13,520","13,520","13,188",-
7/12/2019,"13,150","13,490","13,490","13,138",-
7/11/2019,"13,146","13,100","13,146",13.096,-
7/10/2019,13.058,"13,064","13,076","13,046",-
7/9/2019,13.112,13.106,13.112,13.096,-
7/8/2019,"13,098","13,082",13.11,"13,080",-
7/5/2019,"13,074","13,078","13,078",13.058,-
4/7/2019,"13,186","13,192",13.196,"13,186",-
7/3/2019,"13,154","13,168","13,188","13,154",-
7/2/2019,13.21,"13,266","13,266",13.208,-
7/1/2019,13.128,"13,178","13,178",13.118,-
6/28/2019,"12,932","12,918","12,932","12,918",-
6/27/2019,12.782,12.806,12.806,12.778,-
6/26/2019,12.634,12.616,12.648,12.616,-
6/25/2019,12.672,12.71,12.71,12.672,-
6/24/2019,"12,574",12.772,12.78,"12,574",-
