X,Y
20.514999,20.514999
19.7775,20.922501
19.875,19.875
20.1775,20.1775
20.2775,20.2775
20.559999,20.559999
20.32,20.307501
20.84,20.84
21.065001,22.075001
21.2075,21.2075
21.467501,21.467501
21.950001,21.9275
22.4275,22.532499
22.532499,22.532499
21.110001,20.8375
21.1325,21.014999
21.34,21.057501
21.137501,20.950001
21.415001,21.415001
22.139999,22.2575
22.077499,22.077499
21.995001,22.5
22.0425,21.98
22.32,22.3025
22.209999,22.192499
22.252501,22.252501
22.23,22.2775
22.575001,22.3675
23.23,23.1975
23.305,23.24
23.282499,22.9025
22.540001,22.540001
23.26,23.2875
23.58,23.5425
23.290001,23.905001
23.8575,23.8575
24.445,24.445
23.8475,23.8475
23.8475,23.8475
23.535,23.535
23.549999,23.549999
23.5875,23.5875
22.365,22.365
21.4175,21.4175
21.372499,21.372499
21.66,21.66
21.365,21.365
21.360001,21.352501
21.459999,21.459999
21.112499,21.112499
20.9375,20.9375
21.3475,21.3475
20.5625,20.5625
20.495001,20.485001
20.16,20.16
20.245001,20.245001
19.432501,19.432501
19.6525,19.6525
19.592501,19.59
19.682501,19.682501
19.852501,19.852501
19.747499,19.799999
19.955,19.955
19.747499,19.747499
19.684999,19.684999
19.684999,19.684999
19.7925,19.862499
20.07,20.07
20.532499,20.522499
20.6175,20.567499
20.5275,20.612499
20.592501,20.592501
20.9125,20.9625
20.907499,20.907499
21.15,21.247499
21.129999,21.129999
21.3925,21.397499
22.610001,22.5
19.615,19.615
18.780001,18.780001
18.997499,18.997499
18.852501,18.852501
19.225,19.225
18.872499,18.872499
18.622499,18.622499
18.5275,18.5275
18.497499,18.497499
18.395,18.395
18.555,18.555
18.8575,18.8575
18.7325,18.7325
18.592501,18.592501
18.715,18.455
18.455,18.455
18.455,18.455
20.1175,20.137501
20,20
19.9275,19.940001
20.004999,19.92
20.592501,20.592501
20.825001,20.825001
21.115,21.115
20.762501,20.762501
20.5875,20.5875
21.184999,21.184999
21.719999,21.719999
